iter	Logloss
0	0.6255216742
1	0.5685752958
2	0.5159550691
3	0.4631223672
4	0.4241263337
5	0.3853600896
6	0.3514797593
7	0.3225579738
8	0.2934583389
9	0.2691155298
10	0.2496542945
11	0.2267175731
12	0.2088128596
13	0.1887416818
14	0.1735873618
15	0.1602845073
16	0.1472570871
17	0.1362383496
18	0.1244315001
19	0.113475698
20	0.1045759789
21	0.09709823869
22	0.08809314339
23	0.08055254946
24	0.07490555892
25	0.06890142721
26	0.06398433505
27	0.05970133806
28	0.05521368411
29	0.05120757164
30	0.0472240928
31	0.04382765748
32	0.04091002741
33	0.03853560477
34	0.03625354334
35	0.0339126267
36	0.03164708666
37	0.02966316571
38	0.02781224396
39	0.02595617584
40	0.02437051764
41	0.02274001147
42	0.02130248788
43	0.0200102986
44	0.01911169851
45	0.01776988457
46	0.01680716934
47	0.01592747895
48	0.01493051356
49	0.01404617779
50	0.01324051902
51	0.01252626884
52	0.01195125419
53	0.01134239614
54	0.01072360958
55	0.01026322036
56	0.009774590062
57	0.009235043599
58	0.008779335955
59	0.008405674435
60	0.008119238502
61	0.007760270247
62	0.007373545827
63	0.007021857339
64	0.006698137421
65	0.006395346707
66	0.006133311907
67	0.005848516615
68	0.005655077652
69	0.005397259943
70	0.005233790201
71	0.005068598715
72	0.004904248255
73	0.004757612591
74	0.004652687909
75	0.004515350843
76	0.004395130253
77	0.004261284412
78	0.004145299111
79	0.004008452595
80	0.003867728123
81	0.003747360584
82	0.003642317925
83	0.003555135149
84	0.00347286333
85	0.003377860888
86	0.003310467237
87	0.00322176605
88	0.003122376816
89	0.00304978113
90	0.002991262649
91	0.00291951419
92	0.002859322181
93	0.002777957376
94	0.002727089286
95	0.002682259155
96	0.002647329364
97	0.002575472567
98	0.002529140114
99	0.002480556473
100	0.002419929128
101	0.002378609466
102	0.002336774323
103	0.00228052025
104	0.002251414807
105	0.002189757864
106	0.00215595325
107	0.002123101845
108	0.002075867393
109	0.00202937915
110	0.001982923616
111	0.001944183257
112	0.001902532415
113	0.001879358498
114	0.001864017679
115	0.001843286943
116	0.001810827257
117	0.001767253846
118	0.001743360832
119	0.001713817431
120	0.001680780821
121	0.001656731289
122	0.00162560271
123	0.001588950491
124	0.001565080601
125	0.001524665712
126	0.001491647574
127	0.001456973326
128	0.001428337338
129	0.001412480789
130	0.001388337654
131	0.001368631165
132	0.001354226925
133	0.001325790566
134	0.001312823653
135	0.001300510611
136	0.001287626466
137	0.001272337929
138	0.001244580524
139	0.001222394936
140	0.001201927912
141	0.001177720021
142	0.001165936973
143	0.001143038977
144	0.001120361954
