iter	Passed	Remaining
0	4	4275
1	8	4454
2	13	4468
3	17	4340
4	21	4351
5	25	4289
6	30	4297
7	34	4264
8	39	4329
9	43	4346
10	48	4354
11	52	4306
12	56	4289
13	60	4280
14	64	4260
15	68	4228
16	72	4215
17	77	4203
18	81	4197
19	85	4178
20	89	4169
21	93	4157
22	96	4103
23	100	4101
24	105	4097
25	109	4106
26	113	4102
27	117	4091
28	122	4085
29	125	4073
30	130	4068
31	134	4059
32	136	4005
33	140	3999
34	145	3997
35	149	3999
36	155	4037
37	159	4028
38	164	4043
39	168	4036
40	172	4033
41	177	4043
42	181	4036
43	185	4037
44	189	4032
45	194	4031
46	198	4027
47	202	4017
48	207	4022
49	211	4014
50	215	4017
51	219	4008
52	223	4001
53	228	4008
54	232	4003
55	236	3995
56	241	3989
57	245	3981
58	249	3976
59	253	3971
60	257	3964
61	261	3956
62	265	3951
63	270	3951
64	274	3947
65	278	3944
66	283	3942
67	287	3934
68	291	3934
69	295	3927
70	299	3922
71	303	3914
72	308	3916
73	312	3909
74	316	3905
75	320	3899
76	324	3893
77	328	3888
78	333	3883
79	337	3881
80	341	3876
81	345	3872
82	350	3873
83	355	3871
84	359	3866
85	363	3864
86	367	3859
87	372	3857
88	376	3850
89	380	3844
90	384	3842
91	390	3857
92	394	3851
93	399	3846
94	403	3843
95	407	3839
96	411	3832
97	415	3826
98	419	3820
99	424	3823
100	428	3817
101	432	3811
102	436	3805
103	441	3801
104	445	3797
105	449	3790
106	453	3788
107	457	3782
108	462	3781
109	467	3780
110	471	3775
111	475	3770
112	479	3765
113	483	3759
114	487	3754
115	491	3748
116	497	3752
117	501	3746
118	505	3745
119	510	3744
120	517	3759
121	525	3780
122	529	3774
123	533	3769
124	537	3762
125	541	3757
126	546	3753
127	550	3748
128	554	3742
129	558	3737
130	562	3730
131	566	3725
132	570	3718
133	574	3714
134	578	3707
135	583	3704
136	587	3698
137	591	3697
138	595	3691
139	600	3690
140	604	3684
141	608	3678
142	613	3674
143	617	3672
144	622	3669
145	626	3665
146	631	3662
147	635	3657
148	639	3651
149	643	3647
150	647	3641
151	651	3635
152	656	3633
153	660	3627
154	664	3623
155	668	3617
156	673	3613
157	677	3607
158	681	3605
159	685	3599
160	690	3595
161	694	3590
162	698	3585
163	702	3579
164	706	3574
165	710	3568
166	714	3563
167	718	3559
168	723	3557
169	727	3552
170	731	3548
171	736	3543
172	741	3542
173	745	3536
174	749	3531
175	753	3527
176	757	3522
177	761	3516
178	765	3512
179	769	3506
180	773	3500
181	777	3496
182	782	3492
183	786	3489
184	791	3484
185	794	3477
186	798	3472
187	802	3466
188	806	3462
189	810	3455
190	814	3451
191	818	3445
192	822	3440
193	826	3433
194	830	3428
195	834	3423
196	838	3418
197	842	3412
198	846	3407
199	850	3402
200	856	3404
201	862	3406
202	867	3405
203	873	3407
204	878	3408
205	883	3403
206	887	3398
207	890	3391
208	894	3386
209	898	3380
210	902	3374
211	906	3367
212	910	3362
213	914	3357
214	918	3352
215	922	3346
216	925	3340
217	930	3338
218	934	3333
219	938	3328
220	942	3323
221	946	3316
222	950	3313
223	954	3307
224	958	3301
225	962	3294
226	966	3291
227	970	3284
228	975	3282
229	978	3276
230	982	3271
231	986	3265
232	990	3260
233	994	3256
234	998	3250
235	1002	3245
236	1006	3239
237	1010	3234
238	1014	3229
239	1018	3223
240	1021	3218
241	1025	3213
242	1029	3208
243	1033	3201
244	1037	3195
245	1041	3191
246	1044	3185
247	1048	3179
248	1052	3173
249	1055	3167
250	1059	3161
251	1063	3155
252	1066	3150
253	1070	3144
254	1074	3140
255	1078	3134
256	1082	3130
257	1086	3124
258	1090	3120
259	1094	3114
260	1098	3109
261	1101	3103
262	1105	3098
263	1109	3092
264	1113	3087
265	1116	3081
266	1120	3075
267	1123	3069
268	1128	3066
269	1132	3060
270	1136	3056
271	1139	3050
272	1143	3045
273	1147	3039
274	1151	3034
275	1154	3029
276	1158	3024
277	1162	3018
278	1165	3012
279	1169	3006
280	1175	3006
281	1179	3004
282	1184	3000
283	1187	2994
284	1192	2991
285	1196	2986
286	1200	2983
287	1204	2977
288	1208	2973
289	1212	2968
290	1216	2963
291	1219	2957
292	1223	2952
293	1227	2948
294	1231	2943
295	1235	2938
296	1239	2933
297	1243	2929
298	1247	2924
299	1250	2918
300	1254	2913
301	1258	2908
302	1262	2903
303	1265	2897
304	1269	2893
305	1273	2888
306	1277	2882
307	1280	2877
308	1284	2873
309	1288	2868
310	1292	2862
311	1295	2857
312	1299	2852
313	1303	2847
314	1307	2842
315	1310	2837
316	1314	2832
317	1318	2827
318	1322	2822
319	1325	2817
320	1329	2812
321	1333	2807
322	1337	2802
323	1341	2797
324	1344	2792
325	1348	2787
326	1352	2782
327	1356	2778
328	1359	2773
329	1363	2768
330	1367	2763
331	1370	2758
332	1374	2753
333	1378	2747
334	1381	2743
335	1385	2738
336	1389	2733
337	1393	2728
338	1398	2726
339	1401	2721
340	1405	2716
341	1409	2712
342	1413	2707
343	1417	2703
344	1422	2700
345	1426	2695
346	1429	2690
347	1434	2687
348	1438	2683
349	1443	2680
350	1446	2675
351	1451	2671
352	1455	2666
353	1458	2661
354	1462	2656
355	1466	2652
356	1469	2647
357	1473	2642
358	1477	2637
359	1481	2633
360	1484	2628
361	1490	2626
362	1494	2621
363	1499	2619
364	1504	2617
365	1509	2614
366	1514	2612
367	1519	2609
368	1522	2604
369	1526	2599
370	1530	2594
371	1533	2589
372	1537	2584
373	1541	2579
374	1545	2575
375	1548	2570
376	1552	2565
377	1556	2560
378	1560	2556
379	1563	2551
380	1568	2548
381	1572	2543
382	1576	2538
383	1579	2533
384	1583	2529
385	1587	2524
386	1591	2521
387	1595	2516
388	1599	2511
389	1602	2506
390	1607	2503
391	1612	2500
392	1616	2497
393	1628	2504
394	1635	2504
395	1644	2508
396	1648	2503
397	1652	2499
398	1655	2494
399	1659	2489
400	1663	2484
401	1667	2480
402	1670	2475
403	1674	2470
404	1679	2466
405	1683	2462
406	1686	2457
407	1690	2453
408	1694	2448
409	1698	2444
410	1701	2439
411	1705	2434
412	1709	2429
413	1713	2424
414	1716	2419
415	1720	2415
416	1724	2410
417	1728	2407
418	1732	2402
419	1736	2397
420	1739	2392
421	1743	2388
422	1747	2383
423	1751	2379
424	1755	2375
425	1759	2370
426	1763	2366
427	1766	2361
428	1770	2356
429	1774	2352
430	1777	2347
431	1781	2342
432	1784	2337
433	1788	2332
434	1792	2328
435	1796	2323
436	1800	2319
437	1803	2314
438	1807	2309
439	1811	2305
440	1815	2300
441	1818	2296
442	1822	2291
443	1826	2286
444	1829	2282
445	1834	2278
446	1838	2273
447	1841	2269
448	1845	2264
449	1849	2260
450	1852	2255
451	1856	2251
452	1860	2246
453	1863	2241
454	1867	2237
455	1871	2232
456	1876	2229
457	1881	2226
458	1891	2229
459	1899	2230
460	1904	2227
461	1908	2222
462	1912	2218
463	1916	2214
464	1920	2209
465	1924	2205
466	1928	2201
467	1932	2196
468	1936	2192
469	1940	2187
470	1944	2183
471	1948	2179
472	1951	2174
473	1955	2169
474	1959	2165
475	1963	2161
476	1966	2156
477	1970	2151
478	1973	2147
479	1978	2142
480	1981	2138
481	1985	2133
482	1989	2129
483	1993	2125
484	1997	2120
485	2001	2116
486	2004	2111
487	2008	2107
488	2012	2103
489	2016	2098
490	2020	2094
491	2024	2089
492	2027	2085
493	2031	2080
494	2035	2076
495	2039	2072
496	2042	2067
497	2046	2062
498	2050	2058
499	2053	2053
500	2057	2049
501	2060	2044
502	2064	2039
503	2069	2036
504	2072	2031
505	2076	2027
506	2080	2022
507	2084	2018
508	2088	2014
509	2091	2009
510	2095	2005
511	2099	2000
512	2103	1997
513	2107	1993
514	2111	1988
515	2115	1984
516	2119	1979
517	2122	1975
518	2126	1971
519	2130	1967
520	2134	1962
521	2138	1958
522	2142	1953
523	2145	1949
524	2149	1944
525	2152	1939
526	2156	1935
527	2160	1930
528	2163	1926
529	2167	1922
530	2171	1917
531	2175	1913
532	2178	1908
533	2182	1904
534	2186	1900
535	2190	1895
536	2193	1891
537	2197	1887
538	2201	1882
539	2205	1878
540	2208	1874
541	2212	1869
542	2216	1865
543	2220	1860
544	2223	1856
545	2227	1852
546	2231	1847
547	2235	1843
548	2239	1839
549	2243	1835
550	2246	1830
551	2250	1826
552	2253	1821
553	2257	1817
554	2261	1813
555	2265	1808
556	2268	1804
557	2272	1800
558	2275	1795
559	2280	1791
560	2283	1787
561	2287	1782
562	2291	1778
563	2294	1773
564	2298	1769
565	2301	1765
566	2305	1760
567	2309	1756
568	2313	1752
569	2317	1747
570	2320	1743
571	2324	1739
572	2328	1735
573	2331	1730
574	2335	1726
575	2339	1722
576	2342	1717
577	2346	1713
578	2350	1708
579	2353	1704
580	2357	1700
581	2361	1695
582	2365	1691
583	2368	1687
584	2374	1684
585	2378	1680
586	2382	1676
587	2386	1672
588	2390	1667
589	2394	1663
590	2398	1660
591	2402	1655
592	2405	1651
593	2409	1646
594	2415	1644
595	2420	1640
596	2424	1636
597	2427	1632
598	2431	1627
599	2435	1623
600	2439	1619
601	2442	1614
602	2446	1610
603	2450	1606
604	2453	1601
605	2459	1599
606	2463	1595
607	2467	1590
608	2471	1586
609	2475	1582
610	2480	1579
611	2483	1574
612	2492	1573
613	2499	1571
614	2502	1566
615	2506	1562
616	2510	1558
617	2514	1554
618	2518	1550
619	2522	1545
620	2526	1541
621	2529	1537
622	2533	1533
623	2537	1529
624	2541	1524
625	2545	1520
626	2549	1516
627	2553	1512
628	2556	1508
629	2560	1503
630	2564	1499
631	2567	1495
632	2571	1490
633	2575	1486
634	2579	1482
635	2583	1478
636	2586	1474
637	2590	1469
638	2594	1465
639	2598	1461
640	2602	1457
641	2606	1453
642	2610	1449
643	2614	1445
644	2618	1441
645	2623	1437
646	2628	1433
647	2632	1429
648	2637	1426
649	2641	1422
650	2645	1418
651	2651	1415
652	2655	1411
653	2660	1407
654	2664	1403
655	2667	1399
656	2672	1394
657	2675	1390
658	2679	1386
659	2683	1382
660	2687	1378
661	2690	1373
662	2694	1369
663	2698	1365
664	2701	1361
665	2705	1356
666	2709	1352
667	2713	1348
668	2716	1344
669	2720	1339
670	2723	1335
671	2727	1331
672	2730	1326
673	2735	1323
674	2738	1318
675	2742	1314
676	2746	1310
677	2750	1306
678	2754	1302
679	2757	1297
680	2761	1293
681	2765	1289
682	2769	1285
683	2773	1281
684	2776	1276
685	2781	1273
686	2784	1268
687	2788	1264
688	2792	1260
689	2795	1256
690	2799	1251
691	2803	1247
692	2807	1243
693	2810	1239
694	2814	1235
695	2818	1230
696	2821	1226
697	2825	1222
698	2828	1218
699	2832	1213
700	2835	1209
701	2839	1205
702	2843	1201
703	2847	1197
704	2850	1192
705	2854	1188
706	2858	1184
707	2862	1180
708	2868	1177
709	2876	1174
710	2886	1173
711	2895	1171
712	2898	1166
713	2902	1162
714	2906	1158
715	2909	1154
716	2913	1149
717	2917	1146
718	2921	1141
719	2925	1137
720	2929	1133
721	2933	1129
722	2936	1125
723	2942	1121
724	2945	1117
725	2949	1113
726	2953	1109
727	2957	1104
728	2960	1100
729	2964	1096
730	2967	1092
731	2971	1087
732	2975	1083
733	2978	1079
734	2982	1075
735	2986	1071
736	2989	1066
737	2993	1062
738	2997	1058
739	3001	1054
740	3004	1050
741	3008	1046
742	3012	1041
743	3015	1037
744	3019	1033
745	3023	1029
746	3026	1025
747	3030	1020
748	3033	1016
749	3037	1012
750	3041	1008
751	3045	1004
752	3049	1000
753	3053	996
754	3057	992
755	3061	987
756	3064	983
757	3068	979
758	3072	975
759	3075	971
760	3079	966
761	3082	962
762	3086	958
763	3089	954
764	3093	950
765	3097	946
766	3101	942
767	3104	937
768	3108	933
769	3112	929
770	3116	925
771	3119	921
772	3123	917
773	3127	913
774	3130	908
775	3134	904
776	3137	900
777	3141	896
778	3145	892
779	3148	888
780	3152	883
781	3156	879
782	3160	875
783	3164	871
784	3168	867
785	3172	863
786	3175	859
787	3179	855
788	3183	851
789	3187	847
790	3191	843
791	3194	839
792	3198	834
793	3201	830
794	3205	826
795	3209	822
796	3212	818
797	3216	814
798	3220	810
799	3224	806
800	3228	802
801	3231	797
802	3235	793
803	3239	789
804	3243	785
805	3247	781
806	3250	777
807	3254	773
808	3258	769
809	3262	765
810	3266	761
811	3269	757
812	3273	752
813	3277	748
814	3281	744
815	3284	740
816	3288	736
817	3291	732
818	3296	728
819	3299	724
820	3303	720
821	3306	716
822	3310	711
823	3313	707
824	3317	703
825	3320	699
826	3325	695
827	3329	691
828	3333	687
829	3336	683
830	3340	679
831	3344	675
832	3348	671
833	3352	667
834	3356	663
835	3360	659
836	3365	655
837	3369	651
838	3373	647
839	3377	643
840	3381	639
841	3384	635
842	3388	631
843	3391	626
844	3395	622
845	3399	618
846	3403	614
847	3406	610
848	3411	606
849	3415	602
850	3419	598
851	3423	594
852	3426	590
853	3430	586
854	3434	582
855	3438	578
856	3442	574
857	3445	570
858	3452	566
859	3458	562
860	3462	558
861	3466	554
862	3469	550
863	3473	546
864	3477	542
865	3481	538
866	3484	534
867	3488	530
868	3492	526
869	3495	522
870	3499	518
871	3503	514
872	3507	510
873	3510	506
874	3514	502
875	3518	498
876	3522	493
877	3525	489
878	3529	485
879	3533	481
880	3536	477
881	3540	473
882	3544	469
883	3547	465
884	3551	461
885	3555	457
886	3558	453
887	3562	449
888	3565	445
889	3569	441
890	3573	437
891	3576	433
892	3579	428
893	3583	424
894	3587	420
895	3591	416
896	3595	412
897	3599	408
898	3602	404
899	3606	400
900	3610	396
901	3615	392
902	3618	388
903	3622	384
904	3625	380
905	3629	376
906	3632	372
907	3636	368
908	3640	364
909	3643	360
910	3647	356
911	3651	352
912	3654	348
913	3658	344
914	3661	340
915	3665	336
916	3669	332
917	3673	328
918	3677	324
919	3680	320
920	3684	316
921	3688	312
922	3694	308
923	3700	304
924	3708	300
925	3714	296
926	3718	292
927	3722	288
928	3727	284
929	3733	281
930	3737	277
931	3741	272
932	3744	268
933	3748	264
934	3752	260
935	3756	256
936	3759	252
937	3763	248
938	3766	244
939	3770	240
940	3773	236
941	3777	232
942	3780	228
943	3784	224
944	3788	220
945	3792	216
946	3795	212
947	3800	208
948	3805	204
949	3809	200
950	3813	196
951	3817	192
952	3821	188
953	3825	184
954	3829	180
955	3833	176
956	3836	172
957	3840	168
958	3844	164
959	3848	160
960	3852	156
961	3856	152
962	3859	148
963	3863	144
964	3866	140
965	3870	136
966	3873	132
967	3877	128
968	3880	124
969	3884	120
970	3888	116
971	3892	112
972	3896	108
973	3899	104
974	3903	100
975	3907	96
976	3911	92
977	3914	88
978	3918	84
979	3921	80
980	3925	76
981	3929	72
982	3932	68
983	3936	64
984	3940	60
985	3943	55
986	3947	51
987	3950	47
988	3954	43
989	3957	39
990	3961	35
991	3965	31
992	3968	27
993	3973	23
994	3976	19
995	3979	15
996	3984	11
997	3987	7
998	3991	3
999	3995	0
